name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cincinnati,1/1/22,64.8,52.1,56.9,64.8,52.1,56.9,55.3,94.5,1.001,100,83.33,rain,0,0,23.9,14.6,222.6,1004.8,100,6.1,7.3,0.7,0,,2022-01-01T07:57:24,2022-01-01T17:26:10,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KI69,F7513,KLUK,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/2/22,51.4,29.6,36.1,51.4,18.8,28.8,32.1,85.6,0.187,100,33.33,rain,0,0,17.2,14.7,355.1,1014.5,100,8.7,14.5,1,1,,2022-01-02T07:57:31,2022-01-02T17:27:00,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/3/22,33.6,23.5,28.1,33.6,12.8,21.9,17.7,65.7,0,0,0,,0,0,19.7,15.2,1.5,1027.6,36.8,9.9,13.7,1.1,1,,2022-01-03T07:57:35,2022-01-03T17:27:51,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/4/22,44.1,21.2,32.3,37.4,13.6,28,23.7,72.8,0,0,0,,0,0,24.7,15.9,179.3,1023,8.9,9.9,14.5,1.3,2,,2022-01-04T07:57:38,2022-01-04T17:28:44,0.06,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/5/22,49.3,26.5,41.6,42.5,14.2,33,26.3,55.2,0,0,0,,0,0,36.3,22.1,234.8,1010.2,29.6,9.9,17.4,1.4,1,,2022-01-05T07:57:38,2022-01-05T17:29:38,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/6/22,24.7,16.9,20.2,19.7,4.9,11.1,10.4,65.6,0.008,100,16.67,snow,0,0,18.3,13.8,293.4,1019.2,70.6,7.9,9.1,0.9,0,,2022-01-06T07:57:36,2022-01-06T17:30:34,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/7/22,17.7,12.5,15.4,16.6,-0.8,6.8,7.7,71.2,0,0,0,snow,0,0.1,20.8,13.9,266,1027.8,73.8,9.6,30.3,2.7,1,,2022-01-07T07:57:32,2022-01-07T17:31:30,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/8/22,38.4,12.5,25.4,38,3.3,21,15.2,67.3,0.091,100,16.67,"rain,snow",0,0,,10.8,155.4,1028.5,40.6,9.6,10.3,0.9,1,,2022-01-08T07:57:25,2022-01-08T17:32:28,0.19,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/9/22,45.9,26.6,39.3,41.5,18.4,32.8,27.1,61.9,0.579,100,41.67,rain,0,0,28.8,17.4,262.3,1023.9,67.2,8.5,11.3,1,1,,2022-01-09T07:57:17,2022-01-09T17:33:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/10/22,31.6,18.8,24.5,23.2,10.3,16.1,10,54.1,0,0,0,,0,0,23.9,15.1,283.2,1033.1,24.7,9.9,19.5,1.7,1,,2022-01-10T07:57:06,2022-01-10T17:34:27,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
